"table","id","type","display_name","stars","name_id","description_id","dlc_flag","race_lock","model","buy","sell","tp","stp"
"accessory_item.idb","37","0x8","New Model Scouter (Red)","2","0x25","0x25","0xffff","0xff","853","1000","500","1","1"
"accessory_item.idb","38","0x8","New Model Scouter (Blue)","2","0x26","0x26","0xffff","0xff","854","1000","500","1","1"
"accessory_item.idb","39","0x8","New Model Scouter (Green)","2","0x27","0x27","0xffff","0xff","855","1000","500","1","1"
"accessory_item.idb","40","0x8","New Model Scouter (Purple)","2","0x3e","0x3e","0xffff","0xff","865","1000","500","1","1"
"accessory_item.idb","41","0x8","Scouter (Red)","1","0x28","0x28","0xffff","0xff","856","800","400","1","1"
"accessory_item.idb","42","0x8","Scouter (Blue)","1","0x29","0x29","0xffff","0xff","857","800","400","1","1"
"accessory_item.idb","43","0x8","Scouter (Green)","1","0x2a","0x2a","0xffff","0xff","858","800","400","1","1"
"accessory_item.idb","44","0x8","Scouter (Purple)","1","0x2b","0x2b","0xffff","0xff","859","800","400","1","1"
"accessory_item.idb","45","0x8","Old Model Scouter (Red)","1","0x2c","0x2c","0xffff","0xff","860","500","250","1","1"
"accessory_item.idb","46","0x8","Old Model Scouter (Blue)","1","0x2d","0x2d","0xffff","0xff","861","500","250","1","1"
"accessory_item.idb","47","0x8","Old Model Scouter (Green)","1","0x2e","0x2e","0xffff","0xff","862","500","250","1","1"
"accessory_item.idb","48","0x8","Old Model Scouter (Purple)","1","0x2f","0x2f","0xffff","0xff","863","500","250","1","1"
"accessory_item.idb","49","0x8","Gohan Mask","5","0x30","0x30","0xffff","0xff","864","0","20000","0","0"
"accessory_item.idb","50","0x8","Turtle Hermit's Shell","4","0x31","0x31","0xffff","0xff","885","0","15000","0","0"
"accessory_item.idb","51","0x8","Power Pole","1","0x32","0x32","0xffff","0xff","886","0","500","3","3"
"accessory_item.idb","52","0x8","Tapion's Sword","4","0x33","0x33","0xffff","0xff","887","0","13000","7","7"
"accessory_item.idb","53","0x8","Turtle Hermit's Staff","3","0x34","0x34","0xffff","0xff","888","0","8000","7","7"
"accessory_item.idb","54","0x8","Ninja Katana","2","0x35","0x35","0x1d","0xff","889","4000","2000","1","1"
"accessory_item.idb","55","0x8","Yamcha's Sword","3","0x36","0x36","0x1d","0xff","890","0","2500","15","15"
"accessory_item.idb","56","0x8","Z-Sword","5","0x37","0x37","0x1d","0xff","891","40000","20000","3","3"
"accessory_item.idb","57","0x8","Master Korin's Staff","4","0x38","0x38","0xffff","0xff","892","0","12500","7","7"
"accessory_item.idb","58","0x8","Angel Wings","4","0x39","0x39","0x1d","0xff","893","32000","16000","2","2"
"accessory_item.idb","59","0x8","King Kai's Wings","3","0x3a","0x3a","0xffff","0xff","894","22000","11000","2","2"
"accessory_item.idb","60","0x8","Bansho Fan","5","0x3c","0x3c","0xffff","0xff","896","0","22500","10","10"
"accessory_item.idb","61","0x8","Arale-chan's Poop Stick","5","0x3d","0x3d","0xffff","0xff","897","0","15000","0","0"
"accessory_item.idb","62","0x8","Turtle Hermit Set","5","0x3f","0x3f","0xffff","0xff","898","0","12000","0","0"
"accessory_item.idb","63","0x8","Tagoma's Scouter","5","0x40","0x40","0x1d","0xff","899","0","13000","25","25"
"accessory_item.idb","64","0x8","SSGSS Goku Wig","5","0x41","0x41","0x1d","0xff","842","0","15000","25","25"
"accessory_item.idb","65","0x8","Four-Star Dragon Ball Hat","5","0x42","0x42","0xffff","0xff","553","0","10000","25","25"
"accessory_item.idb","66","0x8","Chiaotzu's Hat (With Collar)","1","0x43","0x43","0xffff","0xff","651","1200","600","1","1"
"accessory_item.idb","67","0x8","Yamcha's Baseball Hat","3","0x44","0x44","0x1d","0xff","655","0","1000","15","15"
"accessory_item.idb","68","0x8","Piccolo's School Hat","4","0x45","0x45","0x4","0xff","656","0","12000","7","7"
"accessory_item.idb","69","0x8","Pikkon's Hat","4","0x46","0x46","0x1d","0xff","659","30000","15000","2","2"
"accessory_item.idb","70","0x8","Chiaotzu's Hat","2","0x47","0x47","0xffff","0xff","665","2000","1000","1","1"
"accessory_item.idb","71","0x8","Cell Head","4","0x48","0x48","0x4","0xff","666","0","16000","7","7"
"accessory_item.idb","72","0x8","Krillin's Police Helmet","2","0x49","0x49","0x1d","0xff","900","5000","2500","1","1"
"accessory_item.idb","73","0x8","Goku's Turban","1","0x4a","0x4a","0x1d","0xff","901","2200","1100","1","1"
"accessory_item.idb","74","0x8","King Yemma's Hat","4","0x4b","0x4b","0xffff","0xff","902","0","12500","7","7"
"accessory_item.idb","75","0x8","Royal Army Hat","1","0x4c","0x4c","0x1d","0xff","903","1000","500","1","1"
"accessory_item.idb","76","0x8","Baby Trunks's Hat","2","0x4d","0x4d","0x1d","0xff","904","4000","2000","1","1"
"accessory_item.idb","77","0x8","Mushroom Head","3","0x4e","0x4e","0xffff","0xff","905","0","4500","0","0"
"accessory_item.idb","78","0x8","Grand Kai's Hat","4","0x4f","0x4f","0xffff","0xff","906","0","13500","7","7"
"accessory_item.idb","79","0x8","Glasses (Gohan) #2","2","0x50","0x50","0x1d","0xff","907","5000","2500","1","1"
"accessory_item.idb","80","0x8","Dore's Scouter","4","0x51","0x51","0xffff","0xff","908","0","10000","20","20"
"accessory_item.idb","81","0x8","Goku's Snow Gear","2","0x52","0x52","0x4","0xff","909","0","2500","3","3"
"accessory_item.idb","82","0x8","Tao Pai Pai's Cyborg Head","4","0x53","0x53","0x4","0xff","910","0","15000","7","7"
"accessory_item.idb","83","0x8","Suno's Hat","2","0x54","0x54","0x4","0xff","911","0","2250","0","0"
"accessory_item.idb","84","0x8","Tights's Hat","3","0x55","0x55","0x4","0xff","912","0","4000","0","0"
"accessory_item.idb","85","0x8","Yajirobe Wig","2","0x56","0x56","0xffff","0xff","913","5000","2500","1","1"
"accessory_item.idb","86","0x8","Chiaotzu Wig","2","0x57","0x57","0xffff","0xff","914","4000","2000","1","1"
"accessory_item.idb","87","0x8","Universe 6 S. Kai's Helper's Hat","3","0x58","0x58","0x4","0xff","915","0","3500","0","0"
"accessory_item.idb","88","0x8","Lord Zuno's Topknot Wig","2","0x59","0x59","0x4","0xff","916","0","3000","0","0"
"accessory_item.idb","89","0x8","SSGSS Vegeta Wig","5","0x5a","0x5a","0x1d","0xff","917","0","15000","25","25"
"accessory_item.idb","90","0x8","Android 13's Hat","4","0x5b","0x5b","0x4","0xff","918","0","14000","7","7"
"accessory_item.idb","91","0x8","Jaco's State-of-the-Art Radio","3","0x5c","0x5c","0x1d","0xff","919","0","2000","15","15"
"accessory_item.idb","92","0x8","Zarbon's Circlet","2","0x5d","0x5d","0xffff","0xff","920","0","3000","3","3"
"accessory_item.idb","94","0x8","Energy Absorber","3","0x5f","0x5f","0x1d","0xff","930","10000","5000","2","2"
"accessory_item.idb","95","0x8","Energy Meter","3","0x60","0x60","0x1d","0xff","931","10000","5000","2","2"
"accessory_item.idb","96","0x8","Yajirobe's Katana","1","0x61","0x61","0xffff","0xff","932","2000","1000","1","1"
"accessory_item.idb","97","0x8","The Ox-King's Axe","1","0x62","0x62","0x1d","0xff","933","1800","900","1","1"
"accessory_item.idb","98","0x8","Goku's Umbrella","1","0x63","0x63","0x1d","0xff","934","1500","750","1","1"
"accessory_item.idb","99","0x8","Janemba's Sword","4","0x64","0x64","0x4","0xff","935","0","16500","0","0"
"accessory_item.idb","100","0x8","Dabura Cookie","3","0x65","0x65","0x1d","0xff","936","12000","6000","2","2"
"accessory_item.idb","101","0x8","Perfect Cell's Wings","5","0x66","0x66","0x1d","0xff","937","0","15000","25","25"
"accessory_item.idb","102","0x8","Super Dragon Ball Radar","4","0x67","0x67","0xffff","0xff","938","0","10000","0","0"
"accessory_item.idb","103","0x8","Goodie Radish","3","0x68","0x68","0xffff","0xff","939","0","3000","0","0"
"accessory_item.idb","104","0x8","Whis's Staff","5","0x69","0x69","0x1d","0xff","940","35000","17500","3","3"
"accessory_item.idb","105","0x8","Journey to the West Hood","4","0x6a","0x6a","0x9","0xff","711","0","20000","10","10"
"accessory_item.idb","106","0x8","Bojack's Bandana","4","0x6c","0x6c","0xa","0xff","734","0","14000","50","50"
"accessory_item.idb","107","0x8","Android 15's Shades & Hat","3","0x6d","0x6d","0xa","0xff","728","0","5000","7","7"
"accessory_item.idb","108","0x8","Metal Cooler's Head","4","0x6e","0x6e","0xa","0xff","740","0","20000","0","0"
"accessory_item.idb","109","0x8","Magetta's Head","4","0x6b","0x6b","0xb","0xff","739","0","14000","50","50"
"accessory_item.idb","110","0x8","Bujin's Turban","3","0x6f","0x6f","0xb","0xff","738","0","4000","30","30"
"accessory_item.idb","111","0x8","Kogu's Bandana","3","0x70","0x70","0xb","0xff","736","0","6000","30","30"
"accessory_item.idb","112","0x8","Future Mai's Hat","4","0x71","0x71","0x7","0xff","733","0","15000","20","20"
"accessory_item.idb","113","0x8","Angol's Helmet","2","0x72","0x72","0xb","0xff","744","0","3000","30","30"
"accessory_item.idb","114","0x8","Frieza's Head (Final Form)","4","0x73","0x73","0xb","0xff","668","0","12000","0","0"
"accessory_item.idb","115","0x8","Mecha Frieza's Head","4","0x74","0x74","0xb","0xff","725","0","12000","0","0"
"accessory_item.idb","116","0x8","Great Priest's Ring","5","0x75","0x75","0xb","0xff","924","0","20000","70","70"
"accessory_item.idb","117","0x8","Gas Mask","2","0x76","0x76","0xb","0xff","921","0","2500","30","30"
"accessory_item.idb","118","0x8","Future Trunks's Sword","5","0x77","0x77","0xb","0xff","731","0","25000","100","100"
"accessory_item.idb","119","0x8","Great Ape Hat & Tail","3","0x78","0x78","0xc","0xff","746","0","8000","30","30"
"accessory_item.idb","120","0x8","Golden Great Ape Hat & Tail","4","0x79","0x79","0xc","0xff","748","0","20000","0","0"
"accessory_item.idb","121","0x8","Saiyan Tail","3","0x7a","0x7a","0xc","0xff","943","0","7000","30","30"
"accessory_item.idb","122","0x8","Resistance Helmet","3","0x7b","0x7b","0x8","0xff","742","0","4000","15","15"
"accessory_item.idb","123","0x8","Turtle Hermit's Golden Shell","5","0x7c","0x7c","0xc","0xff","942","0","30000","0","0"
"accessory_item.idb","124","0x8","Golden Scouter","4","0x7d","0x7d","0xc","0xff","923","0","20000","0","0"
"accessory_item.idb","125","0x8","Majin Mark","4","0x7e","0x7e","0xc","0xf","922","0","15000","40","40"
"accessory_item.idb","126","0x8","SS4 Wig & Tail (Goku)","5","0x7f","0x7f","0x8","0xff","747","0","25000","50","50"
"accessory_item.idb","127","0x8","Toppo's Moustache","4","0x80","0x80","0x16","0xff","925","0","24000","40","40"
"accessory_item.idb","128","0x8","Ribrianne's Hood","4","0x81","0x81","0x16","0x8a","752","0","24000","40","40"
"accessory_item.idb","129","0x8","Super Saiyan Ros̩ Wig","5","0x82","0x82","0x19","0xff","927","0","25000","0","0"
"accessory_item.idb","130","0x8","Fused Zamasu Wig","5","0x83","0x83","0x19","0xff","757","0","25000","0","0"
"accessory_item.idb","131","0x8","Android 21 Wig & Glasses","5","0x84","0x84","0x1b","0x8a","755","0","0","0","0"
"accessory_item.idb","132","0x8","Android 21 Wig & Glasses","5","0x85","0x85","0x19","0x8a","755","0","30000","150","150"
"accessory_item.idb","133","0x8","Tapion Wig","4","0x86","0x86","0x20","0xff","761","0","20000","0","0"
"accessory_item.idb","134","0x8","Janemba Head","4","0x87","0x87","0x1e","0xff","762","0","20000","80","80"
"accessory_item.idb","135","0x8","Hercule Wig 2","2","0x88","0x88","0x20","0xff","946","0","3000","0","0"
"accessory_item.idb","136","0x8","Tiencha Wig","3","0x89","0x89","0x20","0xff","947","0","7000","80","80"
"accessory_item.idb","137","0x8","Kefla Wig (Super Saiyan)","5","0x8a","0x8a","0x20","0x8a","929","0","25000","0","0"
"accessory_item.idb","138","0x8","Goku Wig (Ultra Instinct)","5","0x8b","0x8b","0x1e","0xff","926","0","30000","200","200"
"accessory_item.idb","139","0x8","Santa Hat","3","0x8c","0x8c","0x21","0xff","759","0","8000","0","0"
"accessory_item.idb","140","0x8","Santa Hat (with Beard)","3","0x8d","0x8d","0x21","0xff","948","0","8000","0","0"
"accessory_item.idb","141","0x8","Broly Wig (Legendary Super Saiyan)","5","0x8e","0x8e","0x21","0xff","928","0","30000","0","0"
"accessory_item.idb","142","0x8","Blockbuster Glasses","5","0x8f","0x8f","0x21","0xff","949","0","0","0","0"
"accessory_item.idb","143","0x8","Kakunsa's Wig and Mask","3","0x90","0x90","0x23","0xff","767","0","10000","70","70"
"accessory_item.idb","144","0x8","Kakunsa's Tail","3","0x91","0x91","0x23","0xff","951","0","10000","70","70"
"accessory_item.idb","145","0x8","Kakunsa's Set","3","0x92","0x92","0x25","0xff","950","0","10000","0","0"
"accessory_item.idb","146","0x8","Rozie's Hood and Goggles","3","0x93","0x93","0x23","0xff","768","0","10000","70","70"
"accessory_item.idb","147","0x8","Sumo Wrestler Wig","3","0x94","0x94","0x25","0xff","462","0","7000","0","0"
"accessory_item.idb","148","0x8","Universe 7 Baseball Cap","3","0x95","0x95","0x24","0xff","771","0","10000","70","70"
"accessory_item.idb","149","0x8","Cheelai Wig (w/ Scouter)","3","0x97","0x97","0xffff","0x8a","777","0","15000","0","0"
"accessory_item.idb","150","0x8","Cheelai Wig","3","0x96","0x96","0xffff","0x8a","779","0","15000","0","0"
"accessory_item.idb","151","0x8","Broly Wig (Rage)","5","0x98","0x98","0xffff","0xff","776","0","50000","0","0"
"accessory_item.idb","152","0x8","Gine (DB Super) Set","4","0x99","0x99","0x2a","0x8a","781","0","20000","0","0"
"accessory_item.idb","153","0x8","Fu Set","5","0x9a","0x9a","0x2b","0xff","782","0","50000","0","0"
"accessory_item.idb","154","0x8","Bulma (DB Super) Set","5","0x9b","0x9b","0x2b","0xff","783","0","50000","0","0"
"accessory_item.idb","155","0x8","Bergamo Wig","4","0x9c","0x9c","0x2d","0xff","784","0","20000","0","0"
"accessory_item.idb","156","0x8","Kale Wig","4","0x9d","0x9d","0x2c","0xff","785","0","20000","0","0"
"accessory_item.idb","157","0x8","Caulifla Wig","4","0x9e","0x9e","0x2c","0xff","786","0","20000","0","0"
"accessory_item.idb","158","0x8","Bulma (Kid) Wig","5","0x9f","0x9f","0x2c","0x8a","787","0","50000","0","0"
"accessory_item.idb","165","0x8","Android 17 (DB Super) Wig","5","0xa6","0xa6","0x2e","0xff","789","0","50000","0","0"
"accessory_item.idb","166","0x8","King Vegeta (DB Super) Wig","5","0xa7","0xa7","0x2e","0xff","790","0","50000","0","0"
"accessory_item.idb","167","0x8","Oolong Set","4","0xa8","0xa8","0x2f","0xff","956","0","20000","0","0"
"accessory_item.idb","168","0x8","Cell's Exoskeleton","5","0xa9","0xa9","0x2f","0xff","958","0","0","0","0"
"accessory_item.idb","169","0x8","Pan's School Cap","5","0xaa","0xaa","0x31","0x8a","793","0","50000","0","0"
"accessory_item.idb","170","0x8","Gamma 1's Helmet","5","0xab","0xab","0x30","0xff","794","0","50000","0","0"
"accessory_item.idb","171","0x8","Gamma 2's Helmet","5","0xac","0xac","0x30","0xff","795","0","50000","0","0"
"accessory_item.idb","172","0x8","Trunks Wig & Giru","5","0xad","0xad","0x31","0xff","957","0","0","0","0"
"accessory_item.idb","173","0x8","Frieza (1st Form) Accessory","5","0xae","0xae","0x31","0xff","959","0","0","0","0"
"accessory_item.idb","174","0x8","Mini Saiyan Pod","5","0xaf","0xaf","0x31","0xff","960","0","0","0","0"
"accessory_item.idb","175","0x8","Rocket Launcher","5","0xb0","0xb0","0x31","0xff","961","0","0","0","0"
"accessory_item.idb","176","0x8","Red Ribbon Army Helmet","5","0xb1","0xb1","0x32","0xff","555","0","50000","0","0"
"accessory_item.idb","177","0x8","Cell Max Set","5","0xb2","0xb2","0x33","0xff","556","0","50000","0","0"
"accessory_item.idb","178","0x8","Dr. Hedo Hood","5","0xb3","0xb3","0x32","0xff","557","0","50000","0","0"
"accessory_item.idb","179","0x8","Gohan (Beast) Wig","5","0xb4","0xb4","0x32","0xff","558","0","50000","0","0"
"accessory_item.idb","180","0x8","Chiaotzu Accessory","4","0xb5","0xb5","0x33","0xff","963","0","0","0","0"
"accessory_item.idb","181","0x8","Saibaman Accessory","4","0xb6","0xb6","0x33","0xff","964","0","0","0","0"
"accessory_item.idb","182","0x8","Majin Buu's House & Bee Accessory","5","0xb7","0xb7","0x33","0xff","965","0","0","0","0"
"accessory_item.idb","183","0x8","Monarch Set","5","0xb8","0xb8","0x33","0xff","966","0","0","0","0"
"accessory_item.idb","184","0x8","10-Million Celebration Balloon","5","0xb9","0xb9","0x34","0xff","967","0","0","0","0"
"accessory_item.idb","185","0x8","Bubbles Plushie","5","0xba","0xba","0x36","0xff","970","0","0","0","0"
"accessory_item.idb","186","0x8","Time Machine Accessory","5","0xbb","0xbb","0x36","0xff","971","0","0","0","0"
"accessory_item.idb","187","0x8","Vending Machine Accessory","5","0xbc","0xbc","0x36","0xff","972","0","0","0","0"
"accessory_item.idb","188","0x8","Videl (DB Super) Wig","5","0xbd","0xbd","0x37","0xff","1401","0","50000","0","0"
"accessory_item.idb","189","0x8","Beelzebub Wig & Tail","5","0xbe","0xbe","0x38","0xff","1402","0","0","0","0"
"accessory_item.idb","190","0x8","Belmod Wig (with Nose)","5","0xbf","0xbf","0x3a","0xff","1406","0","25000","100","100"
"accessory_item.idb","191","0x8","Korin Wig with Ears & Tail","5","0xc0","0xc0","0x3a","0xff","1408","0","0","0","0"
"accessory_item.idb","192","0x8","Power Key Accessory","5","0xc1","0xc1","0x3a","0xff","973","0","0","0","0"
"accessory_item.idb","193","0x8","Capsule Case Accessory","5","0xc2","0xc2","0x3a","0xff","974","0","0","0","0"
"accessory_item.idb","194","0x8","Spaceship & Tama Accessory","5","0xc3","0xc3","0x3a","0xff","975","0","0","0","0"
"accessory_item.idb","195","0x8","King Kai's House & Gregory Accessory","5","0xc4","0xc4","0x3a","0xff","976","0","0","0","0"
"accessory_item.idb","197","0x8","Glorio Wig","5","0xc6","0xc6","0x3b","0xff","1409","0","50000","0","0"
"accessory_item.idb","198","0x8","Panzy Wig","5","0xc7","0xc7","0x3b","0xff","1410","0","50000","0","0"
"accessory_item.idb","199","0x8","SS4 Goku (DAIMA) Wig & Tail","5","0xc8","0xc8","0x3b","0xff","1411","0","50000","0","0"
"accessory_item.idb","200","0x8","SS3 Vegeta (DAIMA) Wig","5","0xc9","0xc9","0x3b","0xff","1412","0","50000","0","0"
"accessory_item.idb","201","0x8","Golden Frieza Head","5","0xca","0xca","0x3d","0xff","1414","0","50000","0","0"
"accessory_item.idb","202","0x8","Broly Wig (Black Hair, Normal)","5","0xcb","0xcb","0x3d","0xff","778","0","50000","0","0"
"accessory_item.idb","203","0x8","Dragon Ball Balloon","5","0xcc","0xcc","0x3d","0xff","978","0","50000","0","0"
"accessory_item.idb","204","0x8","XENOVERSE 10th Anniversary Celebratory Cake Hat","5","0xcd","0xcd","0x3e","0xff","979","0","0","0","0"
"costume_bottom_item.idb","0","0x1","Goku's Turtle Hermit Gi","1","0x0","0x0","0xffff","0xff","500","0","1500","10","10"
"costume_bottom_item.idb","1","0x1","Goku's Turtle Hermit Gi (King Kai)","2","0x1","0x1","0xffff","0xff","500","0","3000","20","20"
"costume_bottom_item.idb","2","0x1","Goku's Turtle Hermit Gi (Go)","3","0x2","0x2","0xffff","0xff","500","0","8000","30","30"
"costume_bottom_item.idb","3","0x1","Goku's Turtle Hermit Gi (No Character)","4","0x3","0x3","0x1d","0xff","503","0","15000","40","40"
"costume_bottom_item.idb","4","0x1","Yamcha's Turtle Hermit Gi","1","0x4","0x4","0xffff","0xff","504","1600","800","1","1"
"costume_bottom_item.idb","5","0x1","Goku's Yardrat Clothes","3","0x5","0x5","0xffff","0xff","600","0","6000","15","15"
"costume_bottom_item.idb","6","0x1","GT Goku's Gi","5","0x6","0x6","0x1d","0xff","505","0","40000","50","50"
"costume_bottom_item.idb","7","0x1","Tien Shinhan's Gi","2","0x7","0x7","0x1d","0xff","506","8000","4000","2","2"
"costume_bottom_item.idb","8","0x1","Piccolo's Clothes","2","0x8","0x8","0xffff","0xff","507","0","2500","0","0"
"costume_bottom_item.idb","9","0x1","Demon Clothes (Piccolo)","2","0x9","0x9","0xffff","0xff","507","7000","3500","2","2"
"costume_bottom_item.idb","10","0x1","Demon Clothes (Piccolo, with Cape)","1","0xa","0xa","0xffff","0xff","507","8000","4000","1","1"
"costume_bottom_item.idb","11","0x1","Demon Clothes (Gohan, Kid)","1","0xb","0xb","0xffff","0xff","510","3000","1500","1","1"
"costume_bottom_item.idb","12","0x1","Battle Suit (Raditz)","1","0xc","0xc","0xffff","0xff","511","1800","900","1","1"
"costume_bottom_item.idb","13","0x1","Battle Suit (Nappa)","2","0xd","0xd","0xffff","0xff","512","4000","2000","2","2"
"costume_bottom_item.idb","14","0x1","Battle Suit (Vegeta, on entry)","2","0xe","0xe","0xffff","0xff","513","4400","2200","2","2"
"costume_bottom_item.idb","15","0x1","Battle Suit (Frieza Saga Vegeta)","3","0xf","0xf","0xffff","0xff","514","10000","5000","3","3"
"costume_bottom_item.idb","16","0x1","Battle Suit (Gohan)","2","0x10","0x10","0xffff","0xff","515","9600","4800","2","2"
"costume_bottom_item.idb","17","0x1","Battle Suit (Krillin)","2","0x11","0x11","0xffff","0xff","516","9600","4800","2","2"
"costume_bottom_item.idb","18","0x1","Training Suit","2","0x12","0x12","0x1d","0xff","517","9800","4900","2","2"
"costume_bottom_item.idb","19","0x1","Battle Suit (Bardock)","5","0x13","0x13","0x1d","0xff","518","60000","30000","5","5"
"costume_bottom_item.idb","20","0x1","Battle Suit (Ginyu Force White)","3","0x14","0x14","0xffff","0xff","519","10000","5000","3","3"
"costume_bottom_item.idb","21","0x1","Battle Suit (Ginyu Force Black)","3","0x15","0x15","0xffff","0xff","520","10000","5000","3","3"
"costume_bottom_item.idb","22","0x1","Battle Suit (Cooler's Armored Squadron)","3","0x16","0x16","0xffff","0xff","521","12000","6000","3","3"
"costume_bottom_item.idb","23","0x1","Battle Suit (Turles)","4","0x17","0x17","0xffff","0xff","522","40000","20000","4","4"
"costume_bottom_item.idb","24","0x1","Android 17's Clothes","2","0x18","0x18","0x1d","0xff","523","6000","3000","2","2"
"costume_bottom_item.idb","25","0x1","Android 18's Clothes (RR)","2","0x19","0x19","0x1d","0x8a","524","6000","3000","2","2"
"costume_bottom_item.idb","26","0x1","Beerus' Clothes","5","0x1a","0x1a","0x1d","0xff","525","80000","40000","5","5"
"costume_bottom_item.idb","27","0x1","Hercule's Clothes","1","0x1b","0x1b","0x1d","0xff","526","5000","10","1","1"
"costume_bottom_item.idb","28","0x1","Majin Buu's Clothes","3","0x1c","0x1c","0xffff","0xff","527","0","10000","0","0"
"costume_bottom_item.idb","29","0x1","Dr. Gero's Clothes","2","0x1d","0x1d","0x1d","0xff","601","6000","3000","2","2"
"costume_bottom_item.idb","30","0x1","Android 19's Clothes","2","0x1e","0x1e","0x1d","0xff","602","6000","3000","2","2"
"costume_bottom_item.idb","31","0x1","Android 16's Clothes","4","0x1f","0x1f","0x1d","0xff","603","0","8000","40","40"
"costume_bottom_item.idb","32","0x1","Videl's Clothes","1","0x20","0x20","0x1d","0xff","528","7000","3500","1","1"
"costume_bottom_item.idb","33","0x1","Trunks' CC Clothes","3","0x21","0x21","0x1d","0xff","529","20000","10000","3","3"
