"character_id","costume_id","model_preset","label","skill_ids"
"0x1","0x2","0","Bardock - Battle Armor 2","12, 596, 22, 592, 5012, 65535, 10160, 21080, 25007"
"0x1","0x0","50","Bardock - 0","12, 596, 11, 10, 5010, 5012, 10160, 21080, 65535"
"0x2","0x1","0","Goku (GT) (Super Saiyan 4) - Whis Symbol Gi","21, 30, 800, 593, 5800, 5004, 10101, 21080, 65535"
"0x2","0x0","0","Goku (GT) (Super Saiyan 4) - Uniform","21, 3, 20, 593, 5000, 5004, 10101, 21080, 65535"
"0x2","0x2","0","Goku (GT) (Super Saiyan 4) - Time Patroller Gi","21, 2570, 20, 593, 5000, 5004, 10101, 21080, 65535"
"0x3","0x0","2","Goku (Super Saiyan God) - Turtle Gi 3","36, 3, 35, 593, 5000, 5040, 10160, 21080, 65535"
"0x3","0x1","0","Goku (Super Saiyan God) - Turtle Gi 4","36, 4, 35, 593, 5000, 5800, 10160, 21080, 65535"
"0x3","0x2","0","Goku (Super Saiyan God) - Whis Symbol Gi","3, 0, 800, 593, 5000, 5040, 10160, 21080, 65535"
"0x3","0x0","0","Goku (Super Saiyan God) - Turtle Gi 1","0, 3, 81, 593, 5000, 5040, 10160, 21080, 65535"
"0x3","0x0","1","Goku (Super Saiyan God) - Turtle Gi 2","0, 34, 81, 593, 5000, 5040, 10160, 21080, 65535"
"0x4","0x2","0","Goku (GT) - Uniform 1","4, 44, 41, 592, 5000, 65535, 10001, 21080, 25040"
"0x4","0x1","0","Goku (GT) - Uniform 3","0, 40, 20, 592, 5000, 5004, 10000, 21080, 25040"
"0x4","0x0","0","Goku (GT) - Uniform 2","0, 43, 5, 16, 5000, 5040, 10000, 21080, 25040"
"0x5","0x0","1","Goten - Turtle Gi 2","0, 50, 52, 591, 5000, 65535, 10050, 21080, 25007"
"0x5","0x0","0","Goten - Turtle Gi 1","53, 50, 51, 591, 5050, 65535, 10050, 21080, 25007"
"0x5","0x0","2","Goten - Turtle Gi (Festival)","53, 54, 51, 593, 5000, 65535, 10050, 21080, 25007"
"0x6","0x0","0","Gohan (Kid) - Demon Clothes 2","597, 60, 14, 124, 5061, 65535, 10341, 21080, 65535"
"0x6","0x0","50","Gohan (Kid) - 0","597, 60, 61, 62, 5061, 5060, 10341, 21080, 65535"
"0x6","0x2","0","Gohan (Kid) - Battle Armor","62, 595, 115, 124, 5060, 65535, 10341, 21080, 65535"
"0x6","0x3","0","Gohan (Kid) - Qipao","60, 61, 14, 124, 5061, 65535, 10340, 21080, 65535"
"0x6","0x4","0","Gohan (Kid) - Demon Clothes 1","597, 595, 14, 591, 5013, 65535, 10340, 21080, 65535"
"0x6","0x1","0","Gohan (Kid) - Demon Clothes 3","62, 595, 14, 591, 5013, 65535, 10341, 21080, 65535"
"0x7","0x2","0","Gohan (Youth) - Demon Clothes 4","0, 70, 71, 592, 5071, 5000, 10060, 21080, 25008"
"0x7","0x1","0","Gohan (Youth) - Demon Clothes 2","62, 70, 71, 592, 5070, 5000, 10060, 21080, 25008"
"0x7","0x0","0","Gohan (Youth) - Demon Clothes 1","0, 595, 115, 16, 5013, 65535, 10060, 21080, 25008"
"0x7","0x0","1","Gohan (Youth) - Demon Clothes (Festival)","62, 596, 71, 599, 5071, 5000, 10341, 21080, 25007"
"0x8","0x3","0","Great Saiyaman - Great Saiyaman Suit","81, 595, 97, 82, 5013, 65535, 10341, 21081, 25007"
"0x8","0x1","0","Gohan - Turtle Gi","0, 80, 81, 16, 5000, 65535, 10000, 21081, 25080"
"0x8","0x0","50","Gohan - 0","0, 594, 97, 81, 5000, 65535, 10860, 21081, 25008"
"0x8","0x0","0","Gohan - Uniform 1","0, 594, 115, 593, 5000, 65535, 10860, 21081, 25008"
"0x8","0x9","0","Gohan - Demon Clothes","0, 62, 81, 593, 5000, 5090, 10000, 21081, 65535"
"0x8","0x6","0","Gohan - Uniform 2","2080, 801, 14, 599, 5000, 5083, 12080, 21081, 25008"
"0x8","0x7","0","Gohan - Great Saiyaman Suit 1","2080, 2081, 80, 593, 5013, 5083, 10000, 21081, 25007"
"0x8","0x8","0","Gohan - Great Saiyaman Suit 2","0, 2081, 81, 593, 5800, 5083, 12080, 21081, 25008"
"0x8","0x5","0","Gohan - Tracksuit","0, 81, 14, 592, 5013, 65535, 10000, 21081, 65535"
"0x9","0x1","0","Piccolo - Demon Clothes 2","90, 92, 96, 592, 5013, 5092, 10091, 21083, 65535"
"0x9","0x0","0","Piccolo - Demon Clothes 1","90, 95, 91, 591, 5090, 65535, 10090, 21083, 65535"
"0x9","0x0","50","Piccolo - 0","90, 92, 93, 97, 5013, 65535, 10091, 21083, 65535"
"0x9","0x0","1","Piccolo - Demon Clothes 5","90, 122, 94, 591, 5013, 65535, 10091, 21083, 65535"
"0x9","0x0","2","Piccolo - Demon Clothes (Festival)","52, 98, 94, 593, 5090, 65535, 10091, 21083, 65535"
"0x9","0x2","0","Piccolo - Demon Clothes 3","597, 92, 94, 592, 5090, 65535, 10090, 21083, 65535"
"0x9","0x3","0","Piccolo - Demon Clothes 4","93, 97, 96, 593, 5090, 5091, 10090, 21083, 65535"
"0xa","0x0","1","Krillin - Turtle Gi (Festival)","0, 100, 108, 593, 5101, 5100, 10102, 21083, 65535"
"0xa","0x3","0","Krillin - Turtle Gi 3","0, 596, 108, 591, 5100, 5013, 10101, 21083, 65535"
"0xa","0x0","0","Krillin - Turtle Gi 1","0, 100, 101, 124, 5101, 65535, 10101, 21083, 65535"
"0xa","0x0","50","Krillin - 0","0, 100, 101, 123, 5101, 5100, 10101, 21083, 65535"
"0xa","0x1","0","Krillin - Turtle Gi 2","597, 595, 108, 591, 5101, 65535, 10101, 21083, 65535"
"0xa","0x2","0","Krillin - Battle Armor","0, 595, 123, 124, 5100, 5013, 10340, 21083, 65535"
"0xa","0x5","0","Krillin - Casual Clothes","52, 100, 108, 592, 5013, 5000, 10101, 21083, 65535"
"0xa","0x4","0","Krillin - Turtle Gi 4","52, 100, 108, 592, 5013, 5050, 10101, 21083, 65535"
"0xb","0x1","0","Yamcha - Turtle Gi 3","0, 117, 115, 16, 5110, 5013, 10340, 21083, 65535"
"0xb","0x0","0","Yamcha - Turtle Gi 1","52, 110, 116, 592, 5110, 5050, 10340, 21083, 65535"
"0xb","0x0","50","Yamcha - 0","0, 117, 111, 596, 5110, 5050, 10340, 21083, 65535"
"0xb","0x0","1","Yamcha - Turtle Gi 2","597, 111, 32, 592, 5110, 5013, 10101, 21083, 65535"
"0xb","0x2","0","Yamcha - Turtle Gi","533, 117, 623, 532, 5110, 65535, 10340, 21083, 65535"
"0xb","0x2","1","Yamcha - Turtle Gi","110, 545, 111, 538, 5110, 65535, 10101, 21083, 65535"
"0xc","0x0","0","Tien - Uniform 1","120, 122, 121, 592, 5120, 65535, 10341, 21080, 65535"
"0xc","0x0","50","Tien - 0","121, 595, 120, 123, 5120, 5013, 10341, 21080, 65535"
"0xc","0x1","0","Tien - Uniform 2","121, 595, 125, 16, 5120, 5013, 10341, 21080, 65535"
"0xc","0x2","0","Tien - Qipao","121, 595, 123, 592, 5120, 5050, 10000, 21080, 65535"
"0xd","0x0","2","Raditz - Battle Armor (Festival)","133, 131, 132, 593, 5130, 5131, 10130, 21080, 65535"
"0xd","0x0","1","Raditz - Battle Armor 2","130, 131, 132, 591, 5131, 5013, 10130, 21080, 65535"
"0xd","0x0","0","Raditz - Battle Armor 1","130, 594, 115, 591, 5130, 65535, 10130, 21080, 65535"
"0xd","0x0","50","Raditz - 0","130, 594, 132, 131, 5130, 5131, 10130, 21080, 65535"
"0xd","0x1","0","Raditz - Battle Armor 3","131, 164, 132, 124, 5131, 65535, 10130, 21080, 65535"
"0xe","0x6","0","Saibaman - Saibaman 3","142, 164, 14, 591, 5050, 65535, 10331, 21080, 65535"
"0xe","0x7","0","Cocoaman - Cocoaman","142, 164, 14, 591, 5050, 65535, 10331, 21080, 65535"
"0xe","0x9","0","Ginnanman - Ginnanman","52, 595, 115, 16, 5142, 5050, 10101, 21080, 65535"
"0xe","0xa","0","Kinkanman - Kinkanman","597, 143, 15, 592, 5142, 5050, 10130, 21080, 65535"
"0xe","0xb","0","Dummyman - Dummyman","597, 143, 15, 592, 5142, 5013, 10130, 21080, 65535"
"0xe","0x5","0","Jinkouman - Jinkouman","597, 596, 15, 592, 5140, 5013, 10130, 21080, 65535"
"0xe","0x4","0","Tennenman - Tennenman","597, 596, 15, 592, 5140, 5050, 10130, 21080, 65535"
"0xe","0x3","1","Saibaman - Saibaman 2","143, 144, 545, 592, 5142, 5050, 10130, 21080, 65535"
"0xe","0x3","0","Saibaman - Saibaman 1","52, 595, 115, 16, 5140, 5050, 10101, 21080, 65535"
"0xe","0x2","0","Copyman - Copyman","52, 595, 115, 16, 5050, 65535, 10101, 21080, 65535"
"0xe","0x1","0","Kyukonman - Kyukonman","142, 164, 14, 591, 5050, 65535, 10331, 21080, 65535"
"0xe","0x0","0","Kaiwareman - Kaiwareman","142, 164, 14, 591, 5050, 65535, 10331, 21080, 65535"
"0xe","0x8","0","Buronman - Buronman","52, 595, 115, 16, 5050, 65535, 10101, 21080, 65535"
"0xf","0x0","1","Nappa - Battle Armor (Festival)","590, 150, 155, 593, 5150, 5151, 10130, 21080, 65535"
"0xf","0x2","0","Nappa - Battle Armor 3","150, 164, 153, 592, 5150, 5013, 10130, 21080, 65535"
"0xf","0x1","0","Nappa - Battle Armor 2","597, 152, 15, 592, 5151, 5013, 10130, 21080, 65535"
"0xf","0x0","50","Nappa - 0","150, 164, 151, 153, 5151, 5150, 10130, 21080, 65535"
"0xf","0x0","0","Nappa - Battle Armor 1","590, 164, 151, 592, 5151, 65535, 10130, 21080, 65535"
"0x10","0xb","0","Captain Ginyu - Vegeta","222, 164, 52, 223, 5220, 65535, 65535, 21080, 65535"
"0x10","0x8","0","Vegeta - Battle Armor 8","597, 164, 390, 592, 5161, 65535, 10160, 21081, 25160"
"0x10","0x0","0","Vegeta - Battle Armor 2","597, 164, 163, 591, 5013, 65535, 10160, 21081, 65535"
"0x10","0x0","50","Vegeta - 0","390, 810, 163, 160, 5161, 65535, 10160, 21081, 65535"
"0x10","0x0","1","Vegeta - Battle Armor 3","167, 596, 162, 591, 5810, 65535, 10160, 21081, 65535"
"0x10","0x0","2","Vegeta - Battle Armor (Festival)","161, 168, 163, 599, 5810, 65535, 10101, 21081, 65535"
"0x10","0x1","0","Vegeta - Battle Armor 1","160, 595, 125, 16, 5810, 65535, 10101, 21081, 65535"
"0x10","0x2","0","Vegeta - 2","167, 596, 162, 591, 5810, 65535, 10160, 21081, 65535"
"0x10","0x4","0","Vegeta - Battle Armor 5","160, 595, 161, 592, 5013, 65535, 10160, 21081, 65535"
"0x10","0x3","0","Vegeta - Battle Armor 4","52, 164, 15, 591, 5050, 65535, 10160, 21081, 65535"
"0x10","0x7","0","Vegeta - Battle Armor 7","160, 596, 115, 592, 5810, 5050, 10160, 21081, 65535"
"0x10","0x10","1","Vegeta - 16","161, 168, 163, 599, 5810, 65535, 10160, 21081, 65535"
"0x10","0x10","0","Vegeta - Whis Symbol Battle Armor","390, 810, 163, 16, 5161, 5050, 10160, 21081, 25161"
"0x10","0xf","0","Majin Vegeta (Super Saiyan 2) - Training Suit 2","162, 596, 165, 593, 5163, 5013, 10160, 21081, 65535"
"0x10","0xe","1","Majin Vegeta (Super Saiyan 2) - Training Suit 1","390, 161, 165, 538, 5161, 5163, 10160, 21081, 65535"
"0x10","0xe","0","Majin Vegeta (Super Saiyan 2) - Training Suit 1","390, 166, 165, 16, 5161, 5050, 10341, 21081, 65535"
"0x10","0xa","0","Vegeta - Training Suit 2","390, 594, 163, 593, 5161, 65535, 10101, 21081, 25161"
"0x10","0x5","0","Vegeta - Battle Armor 6","160, 164, 162, 592, 5050, 65535, 10340, 21081, 65535"
"0x10","0x9","0","Vegeta - Training Suit 1","390, 596, 14, 593, 5161, 65535, 10160, 21081, 25161"
"0x11","0x0","0","Vegeta (GT) (Super Saiyan 4) - Casual Clothes","160, 596, 390, 593, 5170, 5161, 10101, 21081, 65535"
"0x11","0x1","0","Vegeta (GT) (Super Saiyan 4) - Whis Symbol Battle Armor","812, 596, 390, 593, 5810, 5161, 10101, 21081, 65535"
"0x11","0x2","0","Vegeta (GT) (Super Saiyan 4) - Time Patroller Battle Armor","160, 596, 2580, 593, 5170, 7581, 10101, 21081, 65535"
"0x12","0x0","0","Guldo - Battle Armor 1","590, 180, 594, 182, 5180, 65535, 10181, 21084, 65535"
"0x12","0x0","1","Guldo - Battle Armor 2","52, 180, 14, 184, 5180, 5050, 10180, 21084, 65535"
"0x13","0x0","0","Burter - Battle Armor 2","192, 193, 115, 191, 5190, 5013, 10190, 21081, 65535"
"0x13","0x0","1","Burter - Battle Armor 1","192, 193, 31, 190, 5190, 65535, 10190, 21081, 65535"
"0x14","0x0","0","Recoome - Battle Armor 1","200, 164, 14, 203, 5200, 65535, 10001, 21080, 65535"
"0x14","0x1","0","Recoome - Battle Armor 2","597, 166, 201, 204, 5200, 5013, 10200, 21080, 65535"
"0x15","0x0","0","Jeice - Battle Armor 1","210, 211, 14, 212, 5210, 65535, 10190, 21083, 65535"
"0x15","0x1","0","Jeice - Battle Armor 2","210, 595, 115, 213, 5210, 5050, 10130, 21083, 65535"
"0x16","0x3","0","Captain Ginyu - Battle Armor 3","222, 224, 221, 220, 5220, 5050, 10130, 21082, 65535"
"0x16","0x0","1","Captain Ginyu - Battle Armor (Festival)","222, 224, 226, 593, 5013, 5050, 10341, 21082, 65535"
"0x16","0x6","0","Zamasu - 6","65535, 65535, 65535, 65535, 65535, 65535, 65535, 21080, 65535"
"0x16","0x5","0","Trunks - Captain Ginyu","270, 272, 262, 591, 5260, 5013, 10260, 21081, 65535"
"0x16","0x0","50","Captain Ginyu - 0","222, 164, 596, 224, 5013, 5050, 10130, 21082, 65535"
"0x16","0x1","0","Captain Ginyu - Battle Armor 2","222, 164, 221, 223, 5220, 5013, 10130, 21082, 65535"
"0x16","0x0","0","Captain Ginyu - Battle Armor 1","222, 164, 14, 220, 5220, 5050, 10341, 21082, 65535"
"0x16","0x2","0","Goku - Captain Ginyu","0, 596, 123, 591, 5050, 65535, 10001, 21080, 65535"
"0x17","0x8","0","Frieza (First Form) - Battle Armor 4","240, 246, 164, 592, 5230, 65535, 10240, 21084, 65535"
"0x17","0x6","0","Frieza (First Form) - First Form 2","240, 246, 31, 592, 5230, 5013, 10240, 21084, 65535"
"0x17","0x7","0","Frieza (First Form) - First Form 3","240, 246, 31, 230, 5230, 5013, 10240, 21084, 65535"
"0x17","0x5","0","Frieza (First Form) - Battle Armor 3","240, 242, 31, 230, 5230, 65535, 10240, 21084, 65535"
"0x17","0x1","0","Frieza (First Form) - First Form 1","240, 242, 31, 230, 5230, 65535, 10240, 21084, 65535"
"0x17","0x0","1","Frieza (First Form) - Battle Armor (Festival)","240, 246, 232, 593, 5230, 65535, 10240, 21084, 65535"
"0x17","0x0","0","Frieza (First Form) - Battle Armor 1","240, 596, 31, 230, 5230, 65535, 10240, 21084, 26610"
"0x17","0x3","0","Frieza (First Form) - Battle Armor 2","240, 246, 31, 592, 5230, 5013, 10240, 21084, 65535"
"0x17","0x0","50","Frieza (First Form) - 0","240, 246, 242, 31, 5230, 65535, 10240, 21084, 65535"
"0x18","0x3","0","Frieza (Final Form) - Final Form 3","247, 246, 231, 593, 5820, 5240, 10240, 21084, 25240"
"0x18","0x0","0","Frieza (Final Form) - Final Form 1","240, 246, 241, 593, 5240, 5241, 10240, 21084, 65535"
"0x18","0x0","50","Frieza (Final Form) - 0","240, 246, 244, 243, 5240, 5241, 10240, 21084, 65535"
"0x18","0x1","0","Frieza (Final Form) - Final Form 2","240, 242, 241, 593, 5240, 5050, 10240, 21084, 65535"
"0x19","0x0","0","Frieza (Final Form) (Full Power) - Full Power 1","246, 243, 244, 593, 5240, 5013, 10240, 21084, 65535"
"0x19","0x1","0","Frieza (Final Form) (Full Power) - Full Power 2","246, 243, 244, 593, 5242, 5243, 10240, 21084, 65535"
"0x1a","0xd","0","Trunks - Swim Trunks","270, 265, 261, 16, 5013, 5050, 10101, 21081, 25008"
"0x1a","0xb","0","Trunks (Future) - Capsule Corp. Clothes 5","270, 160, 261, 593, 5261, 5050, 10260, 21081, 27501"
"0x1a","0x0","0","Trunks - Long Coat 1","597, 265, 261, 593, 5260, 5013, 10101, 21081, 25860"
"0x1a","0x1","0","Trunks - Long Coat 2","270, 261, 262, 16, 5260, 5050, 10160, 21081, 25860"
"0x1a","0x2","0","Trunks (Future) - Capsule Corp. Clothes 1","260, 264, 262, 592, 5013, 5050, 10260, 21081, 25860"
"0x1a","0x5","0","Trunks (Future) - Capsule Corp. Clothes 2","270, 265, 262, 592, 5260, 5013, 10101, 21081, 25860"
"0x1a","0x6","0","Trunks (Future) - Battle Armor 1","260, 264, 261, 16, 5260, 5050, 10260, 21081, 25860"
"0x1a","0x7","0","Trunks (GT) - Jacket","0, 264, 422, 592, 5270, 5050, 10260, 21081, 25007"
"0x1a","0x9","0","Captain Ginyu - Trunks","222, 15, 32, 16, 5013, 65535, 10130, 21082, 65535"
"0x1a","0xc","0","Trunks - Supreme Kai's Clothes","264, 265, 262, 593, 5261, 5013, 10101, 21081, 25008"
"0x1b","0x0","0","Trunks (Youth) - Uniform","270, 272, 271, 591, 5013, 5270, 10050, 21081, 25007"
"0x1b","0x1","0","Trunks (Youth) - Green Parka","597, 272, 595, 16, 5050, 5270, 10160, 21081, 25007"
"0x1b","0x2","0","Trunks (Youth) - Yellow Hoodie","270, 596, 32, 591, 5050, 5013, 10050, 21081, 25007"
"0x1c","0x0","0","Android 17 - Favorite Clothing 2","1612, 281, 280, 1460, 5280, 5050, 10280, 21080, 65535"
"0x1c","0x1","0","Android 17 - Favorite Clothing 1","280, 1612, 282, 1460, 5280, 65535, 10280, 21080, 65535"
"0x1c","0x0","1","Android 17 - Favorite Clothing (Festival)","284, 281, 282, 1460, 5280, 5050, 10280, 21080, 65535"
"0x1d","0x0","0","Super 17 - Favorite Clothing","290, 292, 291, 16, 5290, 5013, 10130, 21080, 65535"
"0x1d","0x0","1","Super 17 - Favorite Clothing","290, 292, 291, 538, 5290, 5013, 10130, 21080, 65535"
"0x1e","0x0","0","Android 18 - Skirt Style 1","301, 302, 294, 16, 5050, 65535, 10300, 21081, 65535"
"0x1e","0x0","50","Android 18 - 0","301, 302, 300, 101, 5301, 65535, 10300, 21081, 65535"
"0x1e","0x1","0","Android 18 - Skirt Style 2","597, 596, 101, 16, 5301, 5050, 10300, 21081, 65535"
"0x1e","0x2","0","Android 18 - Pants Style 1","300, 302, 115, 16, 5013, 65535, 10340, 21081, 65535"
"0x1e","0x0","1","Android 18 - Skirt Style (Festival)","300, 303, 301, 593, 5301, 5013, 10300, 21081, 65535"
"0x1e","0x4","0","Android 18 - Pants Style 2","300, 302, 115, 16, 5302, 5013, 10340, 21081, 65535"
"0x1e","0x3","0","Android 18 - Island Style","597, 2830, 101, 16, 5301, 5050, 10300, 21081, 65535"
"0x1f","0x0","2","Perfect Cell - Perfect (Festival)","0, 310, 313, 593, 5090, 5013, 10310, 21081, 65535"
"0x1f","0x0","0","Perfect Cell - Perfect 1","0, 310, 311, 592, 5090, 5050, 10310, 21081, 65535"
"0x1f","0x0","50","Perfect Cell - 0","0, 310, 311, 240, 5090, 5230, 10310, 21081, 65535"
"0x1f","0x0","1","Perfect Cell - Perfect 2","240, 244, 123, 16, 5230, 5013, 10310, 21081, 65535"
"0x20","0x1","0","Super Perfect Cell - Full Power","0, 310, 312, 593, 5310, 5040, 10310, 21081, 65535"
"0x20","0x2","0","Super Perfect Cell - 2","533, 534, 312, 532, 5310, 65535, 10310, 21081, 65535"
"0x20","0x3","0","Super Perfect Cell - Full Power","533, 534, 312, 532, 5310, 65535, 10310, 21081, 65535"
"0x20","0x3","1","Super Perfect Cell - Full Power","539, 544, 312, 538, 5310, 6252, 10310, 21081, 65535"
"0x21","0x0","2","Cell Jr. - Cell Jr. 3","121, 596, 115, 592, 5013, 65535, 10331, 21081, 65535"
"0x21","0x0","0","Cell Jr. - Cell Jr. 1","0, 595, 330, 592, 5013, 65535, 10331, 21081, 65535"
"0x21","0x0","1","Cell Jr. - Cell Jr. 2","101, 596, 330, 592, 5050, 65535, 10101, 21081, 65535"
"0x22","0x6","0","Great Saiyaman 2 - Great Saiyaman Suit 2","590, 340, 14, 82, 5340, 65535, 10300, 20340, 65535"
"0x22","0x0","0","Videl - Training T-shirt","342, 341, 340, 591, 5340, 65535, 10341, 20340, 65535"
"0x22","0x1","0","Videl - Fight T-shirt","590, 596, 115, 591, 5340, 65535, 10341, 20340, 65535"
"0x22","0x2","0","Videl - Natade Village Traditional Costume 1","52, 595, 115, 591, 5013, 65535, 10341, 20340, 65535"
"0x22","0x3","0","Videl - Natade Village Traditional Costume 2","52, 341, 14, 591, 5050, 65535, 10341, 20340, 65535"
"0x22","0x4","0","Great Saiyaman 2 - Great Saiyaman Suit 1","590, 340, 14, 82, 5340, 65535, 10300, 20340, 65535"
"0x22","0x5","0","Videl - High School T-shirt","342, 340, 115, 591, 5340, 65535, 10340, 20340, 65535"
"0x22","0x0","1","Videl - Training T-shirt (Festival)","52, 342, 340, 593, 5340, 5050, 10343, 20340, 65535"
"0x23","0x0","0","Majin Buu - Good 1","370, 354, 350, 352, 5350, 5352, 10350, 21081, 65535"
"0x23","0x0","50","Majin Buu - 0","370, 354, 350, 352, 5350, 5352, 10350, 21081, 65535"
"0x23","0x0","2","Majin Buu - Good (Festival)","370, 354, 356, 593, 5350, 5352, 10350, 21081, 65535"
"0x23","0x0","1","Majin Buu - Good 2","0, 353, 351, 330, 5351, 5013, 10350, 21081, 65535"
"0x24","0x0","0","Super Buu - Evil 1","370, 362, 360, 593, 5360, 5013, 10360, 21082, 65535"
"0x24","0x0","1","Super Buu - Evil 2","370, 596, 361, 593, 5360, 5050, 10360, 21082, 65535"
"0x25","0x0","0","Kid Buu - Pure 1","370, 373, 371, 593, 5370, 5371, 10370, 21086, 65535"
"0x25","0x0","1","Kid Buu - Pure 2","370, 373, 371, 372, 5370, 5371, 10370, 21086, 65535"
"0x25","0x1","0","Kid Buu - 1","370, 534, 371, 532, 5370, 5371, 10370, 21086, 65535"
"0x25","0x2","0","Kid Buu - Pure","370, 534, 371, 532, 5370, 5371, 10370, 21086, 65535"
"0x25","0x2","1","Kid Buu - Pure","370, 543, 371, 538, 6252, 5371, 10370, 21086, 65535"
"0x26","0x0","1","Gotenks - Metamoran Clothes 2","380, 383, 382, 593, 5380, 5050, 10380, 21081, 25040"
"0x26","0x0","0","Gotenks - Metamoran Clothes 1","381, 596, 382, 593, 5380, 5050, 10101, 21081, 25040"
"0x26","0x0","50","Gotenks - 0","381, 596, 382, 593, 5380, 5050, 10101, 21081, 25040"
"0x26","0x0","2","Gotenks - Metamoran Clothes 3","380, 122, 110, 124, 5380, 5050, 10380, 21081, 25040"
"0x26","0x0","3","Gotenks - Metamoran Clothes (Festival)","383, 384, 382, 593, 5380, 5050, 10101, 21081, 25040"
"0x27","0x1","0","Vegito - Gi 4","392, 801, 160, 593, 5390, 5391, 10000, 21083, 25390"
"0x27","0x0","0","Vegito - Gi 1","392, 391, 20, 592, 5390, 5391, 10390, 21083, 25390"
"0x27","0x0","1","Vegito - Gi 2","0, 3, 5, 16, 5390, 5000, 10000, 21083, 25390"
"0x27","0x0","2","Vegito - Gi 3","390, 164, 162, 592, 5390, 5161, 10160, 21083, 25390"
"0x27","0x2","0","Vegito - Time Patroller Gi","1410, 1411, 0, 593, 5004, 5391, 10160, 21083, 25390"
"0x28","0x3","0","Broly (Legendary Super Saiyan 3) - Gi","400, 544, 402, 538, 5400, 65535, 10400, 20400, 65535"
"0x28","0x0","2","Broly (Legendary Super Saiyan) - Broly's Clothes (Festival)","400, 404, 402, 593, 5400, 5013, 10400, 20400, 65535"
"0x28","0x2","1","Broly (Legendary Super Saiyan) - Broly's Clothes","400, 544, 402, 538, 5400, 65535, 10400, 20400, 65535"
"0x28","0x1","0","Broly (Legendary Super Saiyan) - 1","533, 534, 402, 532, 5400, 65535, 10400, 20400, 65535"
"0x28","0x0","50","Broly (Legendary Super Saiyan) - 0","400, 401, 402, 592, 5400, 65535, 10400, 20400, 65535"
"0x28","0x0","0","Broly (Legendary Super Saiyan) - Broly's Clothes","400, 401, 402, 592, 5400, 65535, 10400, 20400, 65535"
