"character_id","code","display_name","character_resource","animation_resource","face_animation_resource","camera_animation_resource","action_resource","command_resource","ai_resource"
"0x9d","NI1","Vegeta (Super Saiyan Blue Evolution)","NI1","../VGT/VGT","../VGT/VGT","../VGT/VGT","NI1","NI1","../NI1/NI1"
"0x9e","NI2","Vegeta (Super Saiyan God)","NI2","NI2","../VGT/VGT","NI2","NI2","NI2","../CL4/CL4"
"0x9f","FR2","Frieza (Second Form)","FR2","FR2","FR2","FR2","FR2","FR2","../VGT/VGT"
"0xa0","FR3","Frieza (Third Form)","FR3","FR3","FR3","FR3","FR3","FR3","../VGT/VGT"
"0xa1","X1Q","","","","","","","",""
"0xa3","YRG","Goku (Yardrat)","YRG","../GOK/GOK","../GOK/GOK","../GOK/GOK","../GOK/GOK","../GOK/GOK","../CL4/CL4"
"0xa4","ZBM","Zarbon (True Form)","ZBM","ZBM","ZBM","ZBM","../NAP/NAP","../NAP/NAP","../NAP/NAP"
"0xc8","BLF","Bulma","BLF","../G18/G18","BLF","../G18/G18","../G18/G18","../G18/G18","../CL4/CL4"
"0xc9","FOK","Goku (Ultra Instinct -Sign-)","FOK","FOK","FOK","FOK","FOK","FOK","../FOK/FOK"
"0xca","FOD","Dyspo","FOD","FOD","FOD","FOD","FOD","FOD","../FOD/FOD"
"0xcb","FOV","Vegeta (GT)","FOV","FOV","FOV","FOV","FOV","FOV","../CL4/CL4"
"0xcc","CL2","Semi-Perfect Cell","CL2","CL2","CL2","CL2","CL2","CL2","../CL4/CL4"
"0xcd","URN","Oolong","URN","URN","URN","../HUF/HUF","../HUF/HUF","../HUF/HUF","../CL4/CL4"
"0xce","FIO","Gamma 1","FIO","FIO","FIO","FIO","FIO","FIO","../FIO/FIO"
"0xcf","FIT","Gamma 2","FIT","FIT","FIT","FIT","FIT","FIT","../FIT/FIT"
"0xd0","FIG","Gohan (Super)","FIG","FIG","../GHL/GHL","FIG","FIG","FIG","../VGT/VGT"
"0xd1","SIG","Gohan (Beast)","SIG","SIG","SIG","SIG","SIG","SIG","../SIG/SIG"
"0xd2","SIP","Piccolo (Super)","SIP","../PIC/PIC","../PIC/PIC","../PIC/PIC","SIP","SIP","../SIP/SIP"
"0xd3","SIO","Orange Piccolo","SIO","SIO","SIO","SIO","SIO","SIO","../SIO/SIO"
"0xd4","SIM","Cell Max","SIM","SIM","SIM","SIM","SIM","SIM","../SIM/SIM"
"0xd5","SVE","Android 18 (Super)","SVE","SVE","SVE","SVE","SVE","SVE","../PIC/PIC"
"0xd6","SVV","Videl (Super)","SVV","SVV","SVV","SVV","SVV","SVV","../SVV/SVV"
"0xd7","SIH","Cell Max","SIH","../SIM/SIM","../SIM/SIM","../SIM/SIM","../SIM/SIM","../SIM/SIM","../SIM/SIM"
"0xd8","EIB","Broly","EIB","EIB","EIB","EIB","EIB","EIB","../CL4/CL4"
"0xd9","EIG","Vegeta (Super Saiyan God)","EIG","EIG","EIG","EIG","EIG","EIG","../CL4/CL4"
"0xda","EIR","Goku Black (Super Saiyan Rosé)","EIR","EIR","EIR","EIR","EIR","EIR","../CL4/CL4"
"0xdb","EIM","Broly","EIM","EIM","EIM","../EIB/EIB","EIM","EIM","../CL4/CL4"
"0xdc","SLM","","SLM","SLM","SLM","SLM","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0xdd","NTV","God of Destruction Belmod","NTV","NTV","NTV","NTV","NTV","NTV","../VGT/VGT"
"0xde","NTJ","Jiren (Full Power)","NTJ","NTJ","NTJ","NTJ","NTJ","NTJ","../THJ/THJ"
"0xdf","NTG","Goku (Daima) (Mini)","NTG","NTG","NTG","NTG","NTG","NTG","../CL4/CL4"
"0xe0","XXG","Goku (Daima) (Super Saiyan 4)","XXG","XXG","XXG","XXG","XXG","XXG","../CL4/CL4"
"0xe1","XXV","Vegeta (Daima) (Super Saiyan 3)","XXV","XXV","XXV","XXV","XXV","XXV","../CL4/CL4"
"0xe2","XAB","Broly (Super) (Wrath)","XAB","XAB","XAB","XAB","XAB","XAB","../TM1/TM1"
"0xe3","XAF","Golden Frieza","XAF","XAF","XAF","XAF","XAF","XAF","../XAF/XAF"
"0xe4","XAS","Shenron","XAS","XAS","","XAS","XAS","../OSV/OSV","../CL4/CL4"
"0xe5","XAC","Cheelai","XAC","XAC","XAC","../G18/G18","../G18/G18","../G18/G18","../SVV/SVV"
"0xe6","XAN","Broly (Super)","XAN","../XAB/XAB","XAN","../XAB/XAB","XAN","../XAB/XAB","../CL4/CL4"
"0xe7","XAM","Broly (Super)","XAM","XAM","XAM","XAM","XAM","XAM","../CL4/CL4"
"0xe8","PGS","","PGS","PGS","PGS","","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0xe9","CHL","","CHL","CHL","CHL","","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0xea","BOX","","BOX","../HUM/HUM","../HUM/HUM","","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0xeb","YJB","","YJB","YJB","","","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0xec","YRN","","YRN","YRN","","","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0xed","FIP","","FIP","","FIP","","","","../CL4/CL4"
"0xee","MAI","","MAI","","MAI","","","","../CL4/CL4"
"0xef","KIO","","KIO","","KIO","","","","../CL4/CL4"
"0xf0","CF1","","CF1","","CF1","","","","../CL4/CL4"
"0xf1","LMO","","LMO","","LMO","","","","../CL4/CL4"
"0xf2","ELA","","ELA","","ELA","","","","../CL4/CL4"
"0xf3","BBL","","BBL","","","","","","../CL4/CL4"
"0xf4","GEO","","GEO","","","","","","../CL4/CL4"
"0xf5","LCH","","LCH","","","","","","../CL4/CL4"
"0xf6","BLA","","BLA","","","","","","../CL4/CL4"
"0xf7","PRG","","PRG","PRG","","","","","../CL4/CL4"
"0xf8","PAL","","PAL","PAL","","","","","../CL4/CL4"
"0xf9","GNE","","GNE","GNE","","","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0xfa","TR1","Trunks (Future)","TR1","TR1","../TRX/TRX","TR1","TR1","TR1","../VGT/VGT"
"0xfb","VG1","Vegeta","VG1","VG1","../VGT/VGT","../VGT/VGT","VG1","../VGT/VGT","../VGT/VGT"
"0xfc","GH1","Gohan (Youth)","GH1","GH1","GH1","GH1","GH1","GH1","../CL4/CL4"
"0xfd","SV1","Videl (Super)","../SVV/SVV","../SVV/SVV","../SVV/SVV","../SVV/SVV","SV1","../SVV/SVV","../PIC/PIC"
"0xfe","SHE","Android 18 (Super)","../SVE/SVE","SHE","../SVE/SVE","../SVE/SVE","../SVE/SVE","../SVE/SVE","../VGT/VGT"
"0xff","GCO","Golden Cooler","GCO","GCO","../CO2/CO2","../CO2/CO2","GCO","GCO","../BRL/BRL"
"0x100","GVT","Vegito (Super Saiyan God)","GVT","GVT","GVT","GVT","GVT","GVT","../CL4/CL4"
"0x101","GL4","Goku (Super Saiyan 4 Limit Breaker)","GL4","GL4","../GK4/GK4","GL4","GL4","GL4","../CL4/CL4"
"0x102","VL4","Vegeta (Super Saiyan 4 Limit Breaker)","VL4","VL4","../VG4/VG4","VL4","VL4","VL4","../CL4/CL4"
"0x103","PKK","Super Pikkon","PKK","PKK","PKK","PKK","PKK","PKK","../NAP/NAP"
"0x104","GBZ","Gogeta (Super Saiyan Blue)","GBZ","GBZ","../GG1/GG1","GBZ","GBZ","GBZ","../CL4/CL4"
"0x105","MCG","Golden Metal Cooler","MCG","MCG","MCG","MCG","MCG","MCG","../BRL/BRL"
"0x106","BUT","Super Buu (Gotenks Absorbed)","BUT","BUT","BUT","BUT","BUT","BUT","../CL4/CL4"
"0x107","M21","Majin Android 21","M21","M21","M21","M21","M21","M21","../CL4/CL4"
"0x108","G21","Majin Android 21 (Good)","G21","G21","G21","G21","G21","G21","../CL4/CL4"
"0x109","E21","Majin Android 21 (Evil)","E21","E21","E21","../M21/M21","../M21/M21","../M21/M21","../CL4/CL4"
"0x10a","KAN","Kane","KAN","KAN","KAN","KAN","KAN","KAN","../TM1/TM1"
"0x10b","GAL","Galena","GAL","GAL","GAL","GAL","GAL","GAL","../CL4/CL4"
"0x10c","A13","Super Android 13","A13","A13","A13","A13","A13","A13","../CL4/CL4"
"0x10d","FSH","Fasha","FSH","FSH","FSH","FSH","FSH","FSH","../CL4/CL4"
"0x10e","BUP","Super Buu (Piccolo Absorbed)","BUP","BUP","BUP","BUP","BUP","BUP","../CL4/CL4"
"0x10f","MFR","Mecha Frieza","MFR","MFR","MFR","MFR","MFR","MFR","../CL4/CL4"
"0x110","JBB","Super Janemba (Dark)","JBB","JBB","JBB","JBB","JBB","JBB","../CL4/CL4"
"0x111","J21","Majin Android 21 (Dark)","J21","J21","J21","J21","J21","J21","../CL4/CL4"
"0x112","ZGA","Zangya","ZGA","ZGA","ZGA","ZGA","ZGA","ZGA","../CL4/CL4"
"0x113","DEG","Demon God Demigra","../DMG/DMG","../DMP/DMP","../DMG/DMG","../DMP/DMP","../DMP/DMP","../DMP/DMP","../NAP/NAP"
"0x114","MRF","Mira (Towa Absorbed)","../MRN/MRN","../MRN/MRN","../MRN/MRN","../MRN/MRN","../MRN/MRN","../MRN/MRN","../CL4/CL4"
"0x115","ZMC","Fused Zamasu (Half-Corrupted)","../ZMD/ZMD","../ZMD/ZMD","../ZMD/ZMD","../ZMD/ZMD","../ZMD/ZMD","../ZMD/ZMD","../BRL/BRL"
"0x116","SYN","Syn Shenron","SYN","SYN","SYN","SYN","SYN","SYN","../CL4/CL4"
"0x117","UUB","Uub (GT)","UUB","UUB","UUB","UUB","UUB","UUB","../VGT/VGT"
"0x118","CLN","Cellin","CLN","CLN","CLN","CLN","CLN","CLN","../NAP/NAP"
"0x119","SZA","Salza","SZA","SZA","SZA","SZA","SZA","SZA","../VGT/VGT"
"0x11a","BFP","Bojack (Full Power)","BFP","BFP","../BJK/BJK","../BJK/BJK","BFP","BFP","../CL4/CL4"
"0x11b","T18","Android 18 (GT)","T18","T18","T18","T18","T18","T18","../VGT/VGT"
"0x11c","DWO","Dr. Wheelo","DWO","DWO","DWO","DWO","DWO","DWO","../BRL/BRL"
"0x11d","CUI","Cui","CUI","CUI","CUI","CUI","CUI","CUI","../BRL/BRL"
"0x11e","D02","","D02","D02","D02","D02","D02","D02","../CL4/CL4"
"0x11f","KAL","Kale","KAL","KAL","KAL","KAL","KAL","KAL","../CL4/CL4"
"0x120","THB","Kale (Super Saiyan) (Berserk)","THB","THB","THB","THB","THB","THB","../CL4/CL4"
"0x121","TRG","Trunks (Super Saiyan Rage)","TRG","TRG","TRG","TRG","TRG","TRG","../BRL/BRL"
"0x122","DKT","Super Dekeit","DKT","DKT","DKT","DKT","DKT","DKT","../BRL/BRL"
"0x123","CML","Chamel","CML","CML","CML","../CAB/CAB","../CAB/CAB","../CAB/CAB","../NAP/NAP"
"0x124","RBL","Robelu","RBL","RBL","RBL","../TE1/TE1","../TE1/TE1","../TE1/TE1","../CL4/CL4"
"0x125","D00","","D00","D00","D00","D00","D00","D00","../CL4/CL4"
"0x126","SGE","Goku (Sage Mode)","SGE","SGE","SGE","SGE","SGE","SGE","../GOK/GOKA"
"0x127","PPY","Papayaman","PPY","PPY","PPY","PPY","PPY","PPY","../TE0/TE0"
"0x128","ACE","Ace","ACE","ACE","ACE","ACE","ACE","ACE","../VGT/VGT"
"0x129","D00","","D00","D00","D00","D00","D00","D00","../CL4/CL4"
"0x12a","BAN","Ban","BAN","BAN","BAN","BAN","BAN","BAN","../VGT/VGT"
